Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2754,21675,15893,51255,63939,81228,1,99243,43.972%,24.94023,9460.23,4.47
TOTAL,2754,21675,15893,51255,63939,81228,1,99243,43.972%,24.94023,9460.23,4.47
