Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
hoangkien,4489,28640,15205,81841,110787,150366,2,181445,30.363%,16.31776,7675.96,3.19
TOTAL,4489,28640,15205,81841,110787,150366,2,181445,30.363%,16.31776,7675.96,3.19
